,OSEBuildingID,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,GFAParkingRate,GFABuildingsRate,LargestPropertyUseType,LargestGFARate,SecondLargestPropertyUseType,SecondLargestGFARate,ThirdLargestPropertyUseType,ThirdLargestGFARate,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Latitude,Longitude,Description,Zone,Haversine(km),GFAPerBuilding,GFAPerFloor
193,302,NonResidential,Other,1973,1.0,1.0,77810.0,0.0,100.0,Other,100.0,No information,0.0,No information,0.0,,3085362.5,91.08,0.03182050000000203,-0.046669199999996636,Seattle ReadCntr (50/50) at Readiness Center - Pier 91,MAGNOLIA / QUEEN ANNE,4.975298712873112,77810.0,77810.0
194,313,NonResidential,Medical Office,1927,1.0,5.0,195546.0,19.94,80.06,Medical Office,75.04,Office,5.01,No information,0.0,4.0,24274094.0,516.26,0.013630500000004986,-0.02842920000000504,BMR-201 Elliott Avenue LLC at 201 Elliott Avenue West,MAGNOLIA / QUEEN ANNE,2.615075085608054,195546.0,39109.2
195,314,NonResidential,Hotel,1961,1.0,4.0,122309.0,0.0,100.0,Hotel,100.0,No information,0.0,No information,0.0,10.5,24757011.0,1018.93,0.006220500000004847,-0.019389200000006213,Edgewater Seattle at 2411 Alaskan Way,North DownTown,1.6097115527558825,122309.0,30577.25
196,315,Campus,Other,1995,4.0,3.0,217088.0,0.0,100.0,Other,100.0,No information,0.0,No information,0.0,,24697710.0,649.475,0.005080499999998267,-0.016909200000000624,P66 Bell Harbor International Conference Center & Cruise Terminal. at 2225 Alaskan Way,North DownTown,1.3878092092753747,54272.0,72362.67
197,316,NonResidential,Hotel,2003,1.0,8.0,315800.0,12.29,87.71,Hotel,87.71,No information,0.0,No information,0.0,26.0,27223265.0,789.735,0.004470500000003597,-0.014469200000007731,337v2-Seattle Waterfront Marriott at 2100 Alaskan Way,North DownTown,1.1931921127830185,315800.0,39475.0
198,317,Nonresidential COS,Other,1980,1.0,2.0,69400.0,0.0,100.0,Social/Meeting Hall,100.0,No information,0.0,No information,0.0,,15252364.5,303.455,0.0010705000000044151,-0.010019200000002115,Seattle Aquarium at 1421 Alaskan Way,North DownTown,0.7605071982583586,69400.0,34700.0
199,318,NonResidential,Mixed Use Property,1900,1.0,1.0,65671.300049,0.0,100.0,Restaurant,49.48,Restaurant,45.37,Retail Store,5.15,,8380569.0,294.14,-0.002099499999999921,-0.007519200000004389,Pier 54 at 1001 Alaskan Way,North DownTown,0.6101551261347239,65671.3,65671.3
200,319,NonResidential,Small- and Mid-Sized Office,1914,1.0,4.0,56500.0,0.0,100.0,Office,58.41,Retail Store,12.39,No information,0.0,98.0,1376499.8125,44.77,-0.0034895000000005894,-0.0035091999999963264,Daily Journal Building at 83 Columbia St.,North DownTown,0.4688010186682008,56500.0,14125.0
201,320,NonResidential,Warehouse,2008,1.0,4.0,203504.0,0.0,100.0,Non-Refrigerated Warehouse,78.31,Services,21.69,No information,0.0,72.0,3782680.25,26.37,-0.011489499999996156,0.007580799999999499,(ID320) BMW SEATTLE - SERVICE CENTER at 900 MAYNARD AVE S,GREATER DUWAMISH,1.3983114009814117,203504.0,50876.0
202,322,NonResidential,Large Office,1968,0.0,3.0,127465.0,20.97,79.03,Office,79.03,No information,0.0,No information,0.0,27.0,10030928.5,69.93,0.011300500000004376,-0.018709200000003534,Cox Media Group Seattle KIRO TV (322) at 2801 3rd Ave,North DownTown,1.883055032969444,inf,42488.33
